original_text,translation_method,model1_name,model1_translation,model2_name,model2_translation,model3_name,model3_translation,model4_name,model4_translation
"With this, the strategic plan has been revised and updated for the period.",neural_machine_translation,GPTSw3 - 6.7B,Við hesum er strategiski ætlanin dagførd og dagfest fyri tíðarskeiðið.,Claude,Við hesum er ætlanin fyri framtíðina endurskoðað og dagførd fyri tíðarskeiðið.,NLLB 1.3,Við hesum er strategiska ætlanin endurskoðað og dagførd fyri tíðarskeiðið.,Llama 3.1 - 8B,Við hesum er taktiska ætlanin endurskoðað og dagførd fyri tíðarskeiðið.
"As the country’s only university, the University of the Faroe Islands plays a unique and important role in Faroese society.",neural_machine_translation,GPTSw3 - 6.7B,"Sum landið ikki hevur annað fróðskaparsetur, spælir Fróðskaparsetrið á Fjóni ein serstakan og týdningarmiklan leiklut í samfelagnum.",Claude,Sum einasti háskulin í landinum hevur Fróðskaparsetur Føroya eina serstaka og týdningarmikla leiklut í føroyska samfelagnum.,NLLB 1.3,Sum landsins einasta fróðskaparsetur hevur Fróðskaparsetrið ein serligan og týdningarmiklan leiklut í føroyskum samfelag.,Llama 3.1 - 8B,"Sum einasta universitetið í landinum, spælir Fróðskaparsetrið í Føroyum ein serstakan og týdningarmiklan leiklut í samfelagnum."
The University stands on solid ground with support from all political parties in the country.,neural_machine_translation,GPTSw3 - 6.7B,Fróðskaparsetrið stendur á støðugum grunni við stuðli frá øllum politisku flokkunum í landinum.,Claude,Universitetið stendur á tryggum grundarlagi við stuðli frá øllum politiskum flokkum í landinum.,NLLB 1.3,Fróðskaparsetrið stendur á føstum føti við stuðli frá øllum politiskum flokkum í landinum.,Llama 3.1 - 8B,Fróðskaparsetrið stendur á tryggum grundum við stuðli frá øllum politisku flokkum í landinum.
"According to Statistics Faroe Islands, about percent of each generation leaves the Faroe Islands at a young age.",neural_machine_translation,GPTSw3 - 6.7B,"Í mun til hagtølini fyri Føroyar, fara umleið prosent av hvørjum ættarliði úr Føroyum í ungum aldri.",Claude,Sambært Hagstovu Føroya fara umleið 20 prosent av hvørjum ættarliði av Føroyum í ungum aldri.,NLLB 1.3,Sambært Hagstovuni fara umleið prosent av hvørjum ættarliði úr Føroyum á ungum aldri.,Llama 3.1 - 8B,Sambært hagtølunum hjá Statistics Faroe Islands fara umleið prosent av hvørjum ættarliði úr Faroeum á ungum árum.
"Only half of them return home as they get older, meaning that every fifth person in each generation no longer lives in the Faroe Islands.",neural_machine_translation,GPTSw3 - 6.7B,"Bert helmingurin av teimum koma heimaftur, sum tey gerast eldri, tað vil siga, at hvør fimti persónur í hvørjum ættarliði ikki longur býr á Færeyjum.",Claude,"Bert helvtin av teimum koma heimaftur, tá tey gerast eldri, sum merkir, at hvør fimti persónur í hvørjari ættarlið ikki longur býr í Føroyum.",NLLB 1.3,"Bert helvtin av teimum fara heim aftur, sum tey gerast eldri, og tað merkir, at fimti hvør í hvørjum ættarliði ikki longur býr í Føroyum.",Llama 3.1 - 8B,"Bert helvtin av teimum fara heim aftur, tá ið tey verða eldri, tað merkir, at ein fimtad persónur í hvørjari ættargrein ikki býr longur á Føri."
"Therefore, the main challenge for the University of the Faroe Islands in the coming years is two-fold:",neural_machine_translation,GPTSw3 - 6.7B,Tí er høvuðs uppgávan hjá Fróðskaparsetrinum á Fjóni í komandi árum tvífald:,Claude,Tí er høvuðsavbjóðingin hjá Fróðskaparsetri Føroya komandi árini tvíbýtt:,NLLB 1.3,Tískil er høvuðs avbjóðingin hjá Fróðskaparsetrinum komandi árini tvítýtt:,Llama 3.1 - 8B,Tí er høvuðsbjálvingin fyri fróðskaparsetrið í Føriu í komandi árini tvífaldugur:
To meet the urgent needs for research and higher education in the Faroe Islands and become an integrated part of the global academic community.,neural_machine_translation,GPTSw3 - 6.7B,At nøkta átrokandi tørvin á gransking og hægri útbúgving á Færeyjum og gerast ein integreraður partur av altjóða akademiska samfelagnum.,Claude,At nøkta bráðneyðugu tørvinum á gransking og hægri útbúgving í Føroyum og gerast ein samskipaður partur av altjóða akademiska samfelagnum.,NLLB 1.3,At nøkta átrokandi tørvin á gransking og hægri útbúgving í Føroyum og gerast ein integreraður partur av altjóða akademiska samfelagnum.,Llama 3.1 - 8B,At nøkta átrokandi tørv á gransking og hægri útbúgving í Føri og verða ein samansettur partur av heimsins akademiska samfelag.
A strong University of the Faroe Islands can improve the retention rate of young Faroese people within the country.,neural_machine_translation,GPTSw3 - 6.7B,Eitt sterkt fróðskaparsetur á Fámjinsvegnum kann betra viðverutíðina hjá ungum fólki í landinum.,Claude,"Ein sterkur Fróðskaparsetur Føroya kann betra um, hvussu nógvir ungir føroyingar verða verandi í landinum.",NLLB 1.3,Ein sterkur Fróðskaparsetur Føroya kann betra um varðveitsluprosentið hjá ungum føroyingum innanlands.,Llama 3.1 - 8B,Ein sterk universitet á Føri í Føri kann betra um verðslanina hjá ungum fólkum í landinum.
"Finally, the specific strategic goals of the Strategic Plan are detailed.",neural_machine_translation,GPTSw3 - 6.7B,Endiliga eru tey serligu strategisku málunum í strategisku ætlanini lýst nágreiniliga.,Claude,At enda verða tey serligu strategisku málini í Strategiska Ætlanini útgreinað.,NLLB 1.3,At enda verða ítøkilig strategisku málini í Strategisku ætlanini greinað.,Llama 3.1 - 8B,At enda verða tann serliga taktisku endamálini í taktisku ætlanini nágreinilig.
"The University of the Faroe Islands is, first and foremost, a university.",neural_machine_translation,GPTSw3 - 6.7B,Fróðskaparsetrið á Fjóni er fyrst og fremst eitt fróðskaparsetur.,Claude,"Fróðskaparsetur Føroya er, fyrst og fremst, eitt universitet.",NLLB 1.3,Fróðskaparsetrið er fyrst og fremst eitt fróðskaparsetrið.,Llama 3.1 - 8B,"Fróðskaparsetrið á Føri, er fyrst og fremst eitt fróðskaparsetur."
